# Format: TOKEN	LABEL
# Label contoh: B-HAMA, I-HAMA, B-PENYAKIT, I-PENYAKIT, B-TANAMAN, O

mudah	O
diambil	O
serta	O
dimusnahkan.	O
Wereng	O
Coklat	O
Wereng	O
coklat	O
menyukai	O
pertanaman	O
yang	O
dipupuk	O
nitrogen	O
tinggi	O
dengan	O
jarak	O
tanam	O
rapat.	O
Ambang	O
ekonomi	O
hama	O
ini	O
adalah	O
15	O
ekor	O
per	O
rumpun.	O
Siklus	O
hidupnya	O
21-33	O
hari.	O
Cara	O
pengendaliannya	O
adalah	O
sebagai	O
berikut:	O
Gunakan	O
varietas	O
tahan	O
wereng	O
coklat.	O
Berikan	O
pupuk	O
K	O
untuk	O
mengurangi	O
kerusakan.	O
Monitor	O
pertanaman	O
paling	O
lambat	O
2	O
minggu	O
sekali.	O
Bila	O
populasi	O
hama	O
di	O
bawah	O
ambang	O
ekonomi	O
gunakan	O
insektisida	O
botani	O
atau	O
jamur	O
entomopatogen	O
(Metarhizium	O
annisopliae	O
atau	O
Beauveria	O
bassiana).	O
Bila	O
populasi	O
hama	O
di	O
atas	O
ambang	O
ekonomi	O
gunakan	O
insektisida	O
kimiawi	O
yang	O
direkomendasikan.	O
Penggerek	O
Batang	O
Hama	O
paling	O
penting	O
pada	O
tanaman	O
padi,	O
sering	O
menimbulkan	O
kerusakan	O
berat	O
dan	O
kehilangan	O
hasil	O
yang	O
tinggi.	O
Stadia	O
tanaman	O
yang	O
rentan	O
terhadap	O
serangan	O
penggerek	O
batang	O
adalah	O
sejak	O
pembibitan	O
sampai	O
pembentukan	O
malai.	O
Gejala	O
kerusakan	O
yang	O
ditimbulkannya	O
mengakibatkan	O
anakan	O
mati	O
atau	O
sering	O
disebut	O
sundep	O
pada	O
tanaman	O
stadia	O
vegetative	O
dan	O
beluk	O
(malai	O
hampa)	O
pada	O
tanaman	O
stadia	O
generative.	O
Gejala	O
sundep	O
yaitu	O
daun	O
menguning,	O
mengering,	O
dan	O
mati	O
serta	O
anakan	O
kerdil.	O
Sedangkan	O
untuk	O
gejala	O
beluk	O
yaitu	O
malai	O
padi	O
berwarna	O
coklat	O
dan	O
kering,	O
gabah	O
hampa,	O
serta	O
batang	O
dicabut	O
mudah	O
terlepas.	O
Pengendalian	O
untuk	O
hama	O
ini	O
yaitu	O
dengan	O
cara:	O
Tanam	O
serempak.	O
Pengumpulan	O
kelompok	O
telur.	O
Aplikasi	O
pestisida	O
secara	O
tepat.	O
Spot	O
treatment	O
pada	O
tanaman	O
bergejala.	O
Aplikasi	O
agen	O
hayati	O
parasitoid	O
telur	O
(Trichogramma	O
sp.).	O
Walang	O
Sangit	O
Walang	O
sangit	O
merupakan	O
hama	O
yang	O
umum	O
merusak	O
bulir	O
padi	O
pada	O
fase	O
pemasakan,	O
fase	O
penumbuhan	O
tanaman	O
padi	O
yang	O
rentan	O
terhadap	O
serangan	O
walang	O
sangit	O
adalah	O
dari	O
keluarnya	O
malai	O
sampai	O
matang	O
susu.	O
Kerusakan	O
yang	O
ditimbulkannya	O
menyebabkan	O
beras	O
berubah	O
warna	O
dan	O
mengapung,	O
serta	O
hampa.	O
Ambang	O
ekonomi	O
walang	O
sangit	O
adalah	O
lebih	O
dari	O
satu	O
ekor	O
walang	O
sangit	O
per	O
dua	O
rumpun	O
pada	O
masa	O
keluar	O
malai	O
sampai	O
fase	O
pembungaan.	O
Cara	O
pengendaliannya	O
adalah:	O
Kendalikan	O
gulma	O
di	O
sawah	O
dan	O
di	O
sekitar	O
pertanaman.	O
Pupuk	O
lahan	O
secara	O
merata	O
agar	O
pertumbuhan	O
tanaman	O
seragam.	O
Tangkap	O
walang	O
sangit	O
dengan	O
menggunakan	O
jaring	O
sebelum	O
stadia	O
pembungaan.	O
Umpan	O
walang	O
sangit	O
dengan	O
menggunakan	O
ikan	O
yang	O
sudah	O
busuk,	O
daging	O
yang	O
sudah	O
rusak,	O
atau	O
dengan	O
kotoran	O
ayam.	O
Apabila	O
serangan	O
sedang	O
mencapai	O
ambang	O
ekonomi,	O
lakukan	O
penyemprotan	O
insektisida.	O
Lakukan	O
penyemprotan	O
pada	O
pagi	O
sekali	O
atau	O
sore	O
hari	O
ketika	O
walang	O
sangit	O
berada	O
di	O
kanopi.	O
Pengendalian	O
hama	O
walang	O
sangit	O
juga	O
dapat	O
dengan	O
cara	O
pemanfaatan	O
keong	O
mas.	O
Cara	O
membuat	O
perangkap:	O
Alat:	O
botol	O
bekas,	O
pisai	O
cutter,	O
kawat,	O
daging	O
keong	O
mas,	O
lem	O
perekat	O
(bisa	O
juga	O
menggunakan	O
air	O
detergen),	O
air,	O
bamboo.	O
Cara	O
pembuatan:	O
Lubangi	O
dua	O
sisi	O
botol	O
bekas.	O
Lengkungkan	O
bekas	O
sayatan	O
ke	O
atas.	O
Lubangi	O
tutup	O
botol	O
untuk	O
memasukkan	O
kawat.	O
Masukkan	O
dan	O
gantung	O
3-5	O
bangkai	O
keong	O
dengan	O
memasukkannya	O
ke	O
kawat.	O
Gunakan	O
perekat	O
atau	O
cairan	O
detergen.	O
Jika	O
dengan	O
perekat,	O
olesi	O
dinding	O
botol	O
dengan	O
lem.	O
Jika	O
dengan	O
cairan	O
detergen,	O
masukkan	O
air	O
dan	O
detergen	O
ke	O
dalam	O
botol.	O
Letakkan	O
perangkap	O
di	O
dalam	O
petakan	O
sawah	O
dengan	O
menggunakan	O
tiang	O
bamboo.	O
Penyakit	O
HDB	O
atau	O
Kresek	O
Penyakit	O
HDB	O
atau	O
Kresek	O
disebabkan	O
oleh	O
bakteri	O
Xanthomonas	O
campestris	O
pv	O
oryzae.	O
Gejala	O
kresek	O
dimulai	O
dari	O
tepi	O
daun,	O
berwarna	O
keabu-abuan	O
dan	O
lama-lama	O
daun	O
menjadi	O
kering.	O
Bagian	O
yang	O
kering	O
ini	O
akan	O
semakin	O
meluas	O
ke	O
arah	O
tulang	O
daun	O
hingga	O
seluruh	O
daun	O
akan	O
tampak	O
mengering.	O
Bila	O
serangan	O
terjadi	O
saat	O
berbunga,	O
proses	O
pengisian	O
gabah	O
menjadi	O
tidak	O
sempurna,	O
menyebabkan	O
gabah	O
tidak	O
terisi	O
penuh	O
atau	O
bahkan	O
hampa.	O
Pada	O
kondisi	O
seperti	O
ini	O
kehilangan	O
hasil	O
bisa	O
mencapai	O
50-70	O
persen.	O
Prinsip	O
pengendalian	O
yang	O
dapat	O
dilakukan	O
adalah:	O
Penggunaan	O
benih	O
dan	O
bibit	O
sehat.	O
Penggunaan	O
agen	O
hayati	O
Corynebacterium	O
atau	O
Paenybacillus	O
polymyxa	O
pada	O
benih	O
umur	O
14,	O
28,	O
dan	O
42	O
HST	O
dengan	O
dosis	O
5	O
cc	O
per	O
liter.	O
Pemupukan	O
berimbang,	O
hindari	O
pemupukan	O
N	O
berlebihan,	O
sedangkan	O
P	O
dan	O
K	O
yang	O
cukup.	O
Hindari	O
pemupukan	O
saat	O
tanaman	O
memasuki	O
fase	O
bunting.	O
Sanitasi	O
lingkungan	O
dan	O
gulma	O
inang.	O
Pengairan	O
berselang	O
(satu	O
hari	O
digenangi,	O
tiga	O
hari	O
dikeringkan).	O
Penyakit	O
Blast	O
Blast	O
dapat	O
menginfeksi	O
tanaman	O
padi	O
pada	O
semua	O
stadia	O
pertumbuhan.	O
Gejala	O
khas	O
pada	O
daun	O
yaitu	O
bercak	O
berbentuk	O
belah	O
ketupat-lebar	O
di	O
tengah	O
dan	O
meruncing	O
di	O
kedua	O
ujungnya.	O
Ukuran	O
bercak	O
kira-kira	O
1-1,5-0,3-0,5	O
cm	O
berkembang	O
menjadi	O
berwarna	O
abu-abu	O
pada	O
bagian	O
tengahnya.	O
Bila	O
infeksi	O
terjadi	O
pada	O
ruas	O
batang	O
dan	O
leher	O
malai	O
(neck	O
black)	O
akan	O
merubah	O
leher	O
malai	O
yang	O
terinfeksi	O
menjadi	O
kehitam-hitaman	O
dan	O
patah,	O
mirip	O
gejala	O
beluk	O
oleh	O
penggerek	O
batang.	O
Cara	O
pengendaliannya	O
adalah:	O
Gunakan	O
varietas	O
tahan	O
blast	O
secara	O
bergantian.	O
Gunakan	O
pupuk	O
nitrogen	O
sesuai	O
anjuran.	O
Upayakan	O
waktu	O
tanam	O
yang	O
tepat,	O
agar	O
waktu	O
awal	O
pembungaan	O
tidak	O
banyak	O
embun	O
dan	O
hujan	O
terus-menerus.	O
Gunakan	O
fungisida	O
yang	O
berbahan	O
aktif	O
metil	O
tiofanat	O
atau	O
fosdifen	O
dan	O
kaugamisin.	O
Reference:	O
Kartohardjono,	O
A.,	O
Kertoseputro,	O
D.,	O
&	O
Tatang	O
Suryana.	O
2009.	O
Hama	O
Padi	O
Potensial	O
dan	O
Pengendaliannya.	O
Online.	O
www.litbangpertanian.go.id/special.padi/bbpadi_2009_itp_16.pdf	O

Dalam	O
budidaya	O
tanaman	O
padi,	O
maka	O
tidak	O
akan	O
terlepas	O
dari	O
ancaman	O
hama	O
dan	O
penyakit	O
yang	O
sering	O
menyerang	O
tanaman	O
tersebut.	O
Serangan	O
hama	O
dan	O
penyakit	O
apabila	O
dalam	O
pengendaliannya	O
kurang	O
tepat,	O
maka	O
dapat	O
menurunkan	O
produktivitas	O
dari	O
tanaman	O
padi	O
tersebut.	O
Oleh	O
karena	O
itu,	O
diperlukan	O
pengetahuan	O
petani	O
untuk	O
bisa	O
mengenal	O
jenis-jenis	O
hama	O
dan	O
penyakit	O
tanaman	O
padi	O
agar	O
petani	O
mampu	O
mengidentifikasi	O
dan	O
menerapkan	O
pengendalian	O
secara	O
tepat,	O
cepat,	O
dan	O
akurat.	O
Dengan	O
terkendalinya	O
serangan	O
hama	O
dan	O
penyakit,	O
maka	O
tujuan	O
dari	O
kegiatan	O
budidaya	O
akan	O
tercapai.	O

Keong	O
mas	O
merupakan	O
salah	O
satu	O
hama	O
utama	O
tanaman	O
padi.	O
Stadia	O
rentan	O
padi	O
yaitu:	O
persemaian	O
dan	O
padi	O
10	O
HST.	O
Mekanisme	O
merusak:	O
keong	O
memarut	O
jaringan	O
tanaman	O
dan	O
memakannya.	O
Gejala	O
kerusakan:	O
tanaman	O
muda	O
dimakan	O
hingga	O
habis	O
sehingga	O
banyak	O
rumpun	O
hilang,	O
satu	O
batang	O
padi	O
akan	O
habis	O
dimakan	O
seekor	O
keong	O
selama	O
3-5	O
menit.	O

